model,MAE,RMSE,R2,MAPE,target
Ridge,1.8560888856522573,2.1761167920288975,0.3084429721789739,7.197711231190828,margen_pct
Gradient Boosting,1.8619215497376143,2.186862012546296,0.3015965758769438,7.223443690092682,margen_pct
Random Forest,1.8680028403438482,2.203521046786151,0.2909154795080321,7.236102664008202,margen_pct
Ridge,8.187549372969695,12.692502551926488,0.15298463609046065,217.8287535949135,dias_cierre
Random Forest,8.804178314767293,13.179761725309236,0.08670330338500098,243.9914261934386,dias_cierre
Gradient Boosting,8.611272877359237,13.288653345447225,0.0715495866358461,225.8557689115085,dias_cierre
