feature,importance
descuento_pct,0.32193108854843827
precio_lista,0.2777976965058921
mes,0.05826836328885533
origen_lead_enc,0.05108477289672119
financiacion_enc,0.04785286649671297
marca_enc,0.04203435010740967
segmento_enc,0.0387827808911204
num_accesorios,0.02981888675500109
tipo_enc,0.027180724121991844
zona_enc,0.025717055382264948
año,0.024228165418633697
senioridad_enc,0.018661720356273854
test_drive,0.013714325813411681
segmento_num,0.011766198288381638
permuta,0.0108756906004502
es_premium_luxury,0.0002853145284411469
